,number_susceptible,number_infected,number_resistant
367,98,5986,1837
368,95,5980,1846
369,94,5975,1852
370,94,5959,1868
371,93,5956,1872
372,90,5949,1882
373,86,5942,1893
374,85,5933,1903
375,83,5929,1909
376,82,5921,1918
377,81,5910,1930
378,80,5900,1941
379,80,5893,1948
380,79,5886,1956
381,79,5874,1968
382,78,5872,1971
383,74,5870,1977
384,74,5864,1983
385,73,5856,1992
386,71,5851,1999
387,69,5846,2006
388,66,5840,2015
389,66,5831,2024
390,64,5824,2033
391,62,5821,2038
392,60,5819,2042
393,59,5808,2054
394,58,5799,2064
395,57,5795,2069
396,56,5782,2083
397,54,5771,2096
398,51,5766,2104
399,50,5760,2111
400,49,5753,2119
401,48,5745,2128
402,45,5737,2139
403,43,5729,2149
404,41,5723,2157
405,39,5718,2164
406,38,5705,2178
407,38,5696,2187
408,38,5688,2195
409,36,5684,2201
410,36,5679,2206
411,35,5672,2214
412,35,5662,2224
413,34,5656,2231
414,34,5647,2240
415,33,5640,2248
416,32,5633,2256
417,31,5626,2264
418,31,5617,2273
419,31,5612,2278
420,31,5604,2286
421,30,5600,2291
422,29,5590,2302
423,29,5582,2310
424,27,5572,2322
425,27,5563,2331
426,27,5558,2336
427,27,5549,2345
428,27,5542,2352
429,26,5537,2358
430,25,5529,2367
431,24,5522,2375
432,24,5515,2382
433,24,5511,2386
434,23,5499,2399
435,23,5491,2407
436,23,5484,2414
437,22,5478,2421
438,22,5469,2430
439,21,5463,2437
440,20,5458,2443
441,19,5452,2450
442,19,5446,2456
443,18,5438,2465
444,18,5433,2470
445,18,5421,2482
446,17,5407,2497
447,17,5401,2503
448,17,5396,2508
449,17,5393,2511
450,16,5384,2521
451,16,5374,2531
452,16,5369,2536
453,15,5360,2546
454,15,5344,2562
455,15,5335,2571
456,15,5332,2574
457,15,5322,2584
458,15,5315,2591
459,15,5307,2599
460,15,5298,2608
461,15,5290,2616
462,15,5279,2627
463,15,5270,2636
464,15,5258,2648
465,15,5250,2656
466,15,5244,2662
467,15,5238,2668
468,14,5225,2682
469,14,5218,2689
470,14,5209,2698
471,14,5203,2704
472,14,5193,2714
473,14,5185,2722
474,14,5175,2732
475,14,5172,2735
476,14,5163,2744
477,14,5157,2750
478,13,5156,2752
479,13,5141,2767
480,13,5132,2776
481,13,5127,2781
482,12,5121,2788
483,12,5107,2802
484,12,5097,2812
485,12,5090,2819
486,11,5084,2826
487,11,5078,2832
488,10,5069,2842
489,10,5061,2850
490,10,5052,2859
491,10,5039,2872
492,10,5036,2875
493,10,5031,2880
494,10,5024,2887
495,10,5017,2894
496,10,5011,2900
497,9,5006,2906
498,9,5001,2911
499,9,4993,2919
500,9,4990,2922
501,8,4986,2927
502,8,4979,2934
503,8,4972,2941
504,8,4965,2948
505,8,4959,2954
506,8,4951,2962
507,8,4944,2969
508,7,4937,2977
509,7,4934,2980
510,7,4928,2986
511,7,4922,2992
512,7,4917,2997
513,7,4907,3007
514,8,4899,3014
515,7,4891,3023
516,7,4884,3030
517,7,4880,3034
518,7,4869,3045
519,7,4860,3054
520,7,4851,3063
521,7,4844,3070
522,7,4837,3077
523,7,4831,3083
524,7,4828,3086
525,7,4825,3089
526,7,4817,3097
527,7,4810,3104
528,7,4804,3110
529,7,4795,3119
530,7,4784,3130
531,7,4778,3136
532,7,4773,3141
533,7,4769,3145
534,7,4761,3153
535,7,4754,3160
536,7,4747,3167
537,6,4744,3171
538,6,4737,3178
539,6,4728,3187
540,6,4719,3196
541,6,4714,3201
542,5,4708,3208
543,4,4701,3216
544,4,4694,3223
545,4,4684,3233
546,4,4672,3245
547,4,4666,3251
548,4,4657,3260
549,4,4645,3272
550,4,4637,3280
551,4,4627,3290
552,4,4621,3296
553,5,4611,3305
554,4,4607,3310
555,4,4599,3318
556,3,4599,3319
557,3,4590,3328
558,3,4585,3333
559,3,4576,3342
560,3,4570,3348
561,3,4560,3358
562,3,4559,3359
563,3,4549,3369
564,3,4540,3378
565,3,4535,3383
566,3,4530,3388
567,3,4528,3390
568,3,4520,3398
569,3,4510,3408
570,3,4505,3413
571,3,4497,3421
572,3,4489,3429
573,3,4480,3438
574,3,4473,3445
575,3,4470,3448
576,3,4461,3457
577,2,4454,3465
578,2,4446,3473
579,2,4442,3477
580,1,4436,3484
581,1,4433,3487
582,1,4427,3493
583,1,4421,3499
584,1,4414,3506
585,1,4407,3513
586,1,4403,3517
587,1,4395,3525
588,1,4385,3535
589,1,4375,3545
590,1,4370,3550
591,1,4360,3560
592,1,4356,3564
593,1,4347,3573
594,1,4340,3580
595,1,4332,3588
596,1,4324,3596
597,1,4320,3600
598,1,4311,3609
599,1,4307,3613
600,1,4299,3621
