,number_susceptible,number_infected,number_resistant
0,7905,16,0
1,7903,18,0
2,7903,18,0
3,7903,18,0
4,7903,18,0
5,7903,18,0
6,7901,20,0
7,7900,21,0
8,7899,22,0
9,7899,22,0
10,7897,24,0
11,7896,25,0
12,7895,26,0
13,7891,29,1
14,7891,29,1
15,7890,30,1
16,7889,31,1
17,7889,31,1
18,7887,33,1
19,7885,35,1
20,7883,37,1
21,7881,39,1
22,7877,43,1
23,7876,44,1
24,7875,45,1
25,7874,46,1
26,7872,48,1
27,7872,48,1
28,7871,49,1
29,7870,50,1
30,7868,52,1
31,7867,53,1
32,7865,55,1
33,7865,55,1
34,7864,56,1
35,7862,58,1
36,7861,59,1
37,7858,62,1
38,7855,65,1
39,7854,66,1
40,7852,68,1
41,7851,69,1
42,7848,71,2
43,7845,74,2
44,7842,77,2
45,7841,78,2
46,7837,82,2
47,7834,85,2
48,7832,87,2
49,7829,90,2
50,7824,95,2
51,7817,102,2
52,7809,110,2
53,7806,113,2
54,7802,117,2
55,7796,123,2
56,7793,125,3
57,7790,128,3
58,7782,136,3
59,7777,141,3
60,7773,145,3
61,7768,149,4
62,7765,152,4
63,7763,154,4
64,7754,163,4
65,7751,166,4
66,7745,172,4
67,7737,180,4
68,7729,188,4
69,7723,193,5
70,7713,203,5
71,7709,207,5
72,7697,219,5
73,7683,233,5
74,7677,239,5
75,7666,250,5
76,7660,256,5
77,7644,272,5
78,7634,282,5
79,7625,291,5
80,7614,302,5
81,7605,311,5
82,7600,315,6
83,7583,332,6
84,7570,345,6
85,7545,370,6
86,7535,380,6
87,7524,391,6
88,7509,406,6
89,7489,426,6
90,7471,444,6
91,7450,462,9
92,7431,480,10
93,7412,497,12
94,7397,510,14
95,7384,523,14
96,7365,541,15
97,7342,564,15
98,7315,591,15
99,7295,610,16
100,7270,634,17
101,7247,656,18
102,7221,682,18
103,7191,712,18
104,7165,738,18
105,7136,767,18
106,7109,793,19
107,7074,828,19
108,7036,864,21
109,7002,896,23
110,6973,923,25
111,6945,949,27
112,6904,988,29
113,6874,1017,30
114,6842,1048,31
115,6807,1082,32
116,6758,1129,34
117,6711,1176,34
118,6665,1220,36
119,6618,1267,36
120,6576,1308,37
121,6528,1355,38
122,6481,1400,40
123,6423,1457,41
124,6371,1508,42
125,6315,1564,42
126,6260,1619,42
127,6212,1664,45
128,6173,1701,47
129,6105,1769,47
130,6045,1827,49
131,5974,1895,52
132,5919,1947,55
133,5870,1994,57
134,5800,2062,59
135,5738,2122,61
136,5674,2182,65
137,5615,2237,69
138,5545,2303,73
139,5479,2369,73
140,5405,2439,77
141,5324,2519,78
142,5263,2577,81
143,5162,2677,82
144,5097,2739,85
145,5036,2800,85
146,4971,2861,89
147,4880,2952,89
148,4795,3032,94
149,4726,3097,98
150,4650,3170,101
151,4571,3246,104
152,4490,3325,106
153,4411,3402,108
154,4333,3478,110
155,4246,3563,112
156,4166,3640,115
157,4080,3725,116
158,4007,3790,124
