,number_susceptible,number_infected,number_resistant
0,7906,15,0
1,7904,17,0
2,7902,18,1
3,7901,19,1
4,7901,19,1
5,7899,21,1
6,7898,21,2
7,7893,26,2
8,7893,26,2
9,7893,26,2
10,7893,26,2
11,7891,28,2
12,7890,29,2
13,7888,31,2
14,7884,35,2
15,7881,38,2
16,7876,43,2
17,7876,43,2
18,7875,44,2
19,7872,47,2
20,7869,50,2
21,7868,51,2
22,7864,55,2
23,7856,63,2
24,7853,66,2
25,7849,70,2
26,7847,72,2
27,7845,74,2
28,7844,75,2
29,7837,82,2
30,7836,83,2
31,7836,83,2
32,7833,86,2
33,7833,86,2
34,7825,94,2
35,7818,101,2
36,7810,109,2
37,7805,114,2
38,7798,121,2
39,7794,125,2
40,7784,135,2
41,7778,141,2
42,7769,150,2
43,7766,153,2
44,7760,158,3
45,7753,165,3
46,7743,175,3
47,7733,185,3
48,7725,193,3
49,7716,202,3
50,7701,217,3
51,7692,226,3
52,7685,233,3
53,7668,250,3
54,7654,264,3
55,7643,275,3
56,7626,291,4
57,7614,303,4
58,7590,327,4
59,7561,356,4
60,7541,375,5
61,7524,392,5
62,7496,420,5
63,7472,443,6
64,7449,466,6
65,7417,497,7
66,7383,531,7
67,7349,564,8
68,7314,599,8
69,7271,642,8
70,7235,677,9
71,7198,713,10
72,7149,762,10
73,7097,813,11
74,7049,860,12
75,6998,910,13
76,6946,960,15
77,6910,996,15
78,6856,1049,16
79,6789,1115,17
80,6723,1180,18
81,6651,1252,18
82,6580,1323,18
83,6512,1390,19
84,6434,1467,20
85,6358,1542,21
86,6275,1625,21
87,6183,1717,21
88,6104,1794,23
89,6004,1890,27
90,5909,1984,28
91,5822,2068,31
92,5735,2153,33
93,5635,2253,33
94,5538,2347,36
95,5413,2472,36
96,5294,2589,38
97,5167,2715,39
98,5054,2827,40
99,4940,2940,41
100,4831,3047,43
101,4712,3160,49
102,4600,3268,53
103,4469,3394,58
104,4350,3511,60
105,4242,3616,63
106,4099,3757,65
107,3986,3868,67
108,3859,3987,75
109,3736,4106,79
110,3600,4234,87
111,3484,4346,91
112,3356,4468,97
113,3223,4595,103
114,3115,4699,107
115,3004,4803,114
116,2879,4922,120
117,2758,5035,128
118,2653,5137,131
119,2542,5243,136
120,2445,5327,149
121,2348,5414,159
122,2229,5528,164
123,2135,5617,169
124,2040,5706,175
125,1927,5814,180
126,1838,5896,187
127,1756,5969,196
128,1678,6044,199
129,1603,6113,205
130,1522,6193,206
131,1436,6271,214
132,1354,6350,217
133,1276,6422,223
134,1217,6472,232
135,1162,6520,239
136,1113,6561,247
137,1064,6605,252
138,1022,6637,262
139,984,6664,273
140,925,6717,279
141,873,6760,288
142,822,6804,295
143,780,6839,302
144,740,6872,309
145,702,6901,318
146,669,6929,323
147,634,6954,333
148,599,6979,343
149,570,6998,353
150,538,7025,358
151,512,7042,367
152,491,7057,373
153,464,7074,383
154,444,7090,387
155,424,7104,393
156,400,7116,405
157,376,7134,411
158,364,7142,415
