,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7898,23,0,22,0.7478222446660776,4
1,7886,35,0,12,0.7466860244918572,6
2,7871,50,0,15,0.7452657492740815,7
3,7849,72,0,25,0.7431826789546775,7
4,7825,96,0,24,0.7409102386062366,10
5,7806,115,0,22,0.7391112233303876,10
6,7784,137,0,23,0.7370281530109835,11
7,7770,151,0,15,0.7357025628077263,11
8,7756,165,0,16,0.7343769726044691,12
9,7742,179,0,16,0.7330513824012119,13
10,7725,195,1,22,0.7314732988259058,15
11,7711,209,1,17,0.7301477086226487,15
12,7700,220,1,13,0.7291061734629466,17
13,7683,237,1,21,0.7274965282161343,17
14,7667,253,1,19,0.7259815679838404,18
15,7658,261,2,12,0.7251609645246813,18
16,7641,278,2,20,0.723551319277869,19
17,7626,293,2,17,0.7221310440600935,20
18,7607,312,2,23,0.7203320287842445,21
19,7589,329,3,22,0.71865926019442,22
20,7574,344,3,20,0.7172389849766444,23
21,7558,360,3,20,0.7157240247443505,23
22,7546,372,3,20,0.71458780457013,24
23,7534,384,3,16,0.7134515843959096,24
24,7513,405,3,24,0.7114631990910238,25
25,7483,435,3,34,0.7086226486554728,26
26,7464,453,4,24,0.7068551950511298,26
27,7452,465,4,23,0.7057189748769094,27
28,7437,480,4,21,0.7042986996591339,27
29,7427,490,4,14,0.7033518495139502,27
30,7414,503,4,22,0.7021209443252114,27
31,7400,517,4,23,0.7007953541219543,27
32,7385,532,4,21,0.6993750789041787,28
33,7368,549,4,24,0.6977654336573664,28
34,7350,567,4,27,0.6960611033960359,28
35,7335,582,4,19,0.6946408281782603,28
36,7323,594,4,15,0.6935046080040399,28
37,7310,607,4,22,0.6922737028153011,28
38,7288,629,4,29,0.690190632495897,29
39,7269,648,4,20,0.6883916172200479,29
40,7258,659,4,14,0.6873500820603459,29
41,7248,669,4,20,0.6864032319151622,29
42,7234,683,4,24,0.685077641711905,29
43,7229,688,4,8,0.6846042166393131,29
44,7211,706,4,26,0.6828998863779826,30
45,7202,715,4,15,0.6820477212473173,30
46,7184,733,4,31,0.6803433909859866,30
47,7171,746,4,24,0.6791124857972478,30
48,7156,761,4,23,0.6776922105794723,30
49,7142,775,4,25,0.6763666203762151,30
50,7136,781,4,13,0.6757985102891049,31
51,7126,791,4,17,0.6748516601439212,32
52,7114,803,4,15,0.6737154399697007,32
53,7093,824,4,29,0.6717270546648151,32
54,7083,834,4,17,0.6707802045196313,32
55,7069,848,4,21,0.6694546143163742,32
56,7053,864,4,22,0.6679396540840803,32
57,7040,877,4,21,0.6667087488953415,32
58,7033,883,5,17,0.6660775154652191,32
59,7018,897,6,20,0.6646888019189496,32
60,7007,907,7,16,0.6636788284307537,32
61,6993,921,7,23,0.6623532382274965,32
62,6982,930,9,21,0.6613748264108067,32
