,number_susceptible,number_infected,number_resistant,results_tweets,sustainablity_score,infected_low
0,7908,13,0,12,0.7487690948112612,2
1,7894,27,0,14,0.747443504608004,3
2,7883,38,0,12,0.746401969448302,5
3,7870,51,0,18,0.7451710642595633,7
4,7852,69,0,22,0.7434667339982326,9
5,7838,83,0,17,0.7421411437949754,12
6,7819,102,0,23,0.7403421285191264,14
7,7808,113,0,15,0.7393005933594243,15
8,7803,118,0,7,0.7388271682868325,16
9,7795,126,0,10,0.7380696881706855,17
10,7788,133,0,14,0.7374068930690569,17
11,7778,143,0,17,0.7364600429238732,17
12,7769,152,0,12,0.7356078777932079,17
13,7758,163,0,15,0.7345663426335058,18
14,7748,173,0,17,0.7336194924883221,20
15,7739,182,0,16,0.7327673273576568,22
16,7732,189,0,14,0.7321045322560282,22
17,7725,196,0,16,0.7314417371543998,23
18,7717,204,0,12,0.7306842570382528,23
19,7709,212,0,17,0.7299267769221058,24
20,7702,219,0,13,0.7292639818204771,25
21,7694,227,0,17,0.7285065017043303,25
22,7681,240,0,23,0.7272755965155915,26
23,7675,245,1,12,0.7267390480999874,26
24,7666,254,1,16,0.725886882969322,26
25,7655,265,1,19,0.72484534780962,27
26,7645,275,1,17,0.7238984976644363,27
27,7640,280,1,12,0.7234250725918444,27
28,7626,294,1,23,0.7220994823885873,28
29,7621,299,1,12,0.7216260573159954,28
30,7615,305,1,11,0.7210579472288852,28
31,7609,311,1,12,0.720489837141775,28
32,7602,318,1,18,0.7198270420401465,28
33,7599,321,1,12,0.7195429869965912,28
34,7594,326,1,15,0.7190695619239994,28
35,7587,333,1,11,0.7184067668223708,28
36,7580,340,1,12,0.7177439717207423,28
37,7570,350,1,18,0.7167971215755586,28
38,7564,356,1,10,0.7162290114884484,28
39,7559,361,1,15,0.7157555864158566,28
40,7549,371,1,17,0.7148087362706729,28
41,7545,375,1,11,0.7144299962125994,29
42,7530,390,1,19,0.7130097209948238,29
43,7522,398,1,14,0.7122522408786769,29
44,7516,403,2,12,0.7117156924630729,29
45,7512,407,2,13,0.7113369524049994,29
46,7504,415,2,14,0.7105794722888524,29
47,7498,420,3,17,0.7100429238732483,29
48,7496,422,3,14,0.7098535538442116,29
49,7490,428,3,10,0.7092854437571013,29
50,7483,435,3,12,0.7086226486554728,29
51,7479,439,3,14,0.7082439085973993,29
52,7471,447,3,14,0.7074864284812524,29
53,7461,457,3,15,0.7065395783360686,30
54,7454,464,3,18,0.70587678323444,30
55,7449,469,3,13,0.7054033581618483,31
56,7440,478,3,20,0.704551193031183,31
57,7437,481,3,14,0.7042671379876279,31
58,7430,488,3,14,0.7036043428859992,32
59,7426,491,4,16,0.7032571644994319,32
60,7422,494,5,16,0.7029099861128646,32
61,7419,496,6,10,0.7026574927408156,32
62,7415,500,6,16,0.7022787526827421,32
63,7410,505,6,13,0.7018053276101502,32
64,7406,509,6,13,0.7014265875520768,32
65,7397,518,6,21,0.7005744224214114,32
66,7390,524,7,14,0.6999431889912889,32
67,7379,535,7,17,0.6989016538315869,32
68,7374,540,7,14,0.698428228758995,32
69,7366,548,7,19,0.6976707486428482,32
70,7364,550,7,11,0.6974813786138113,32
71,7361,553,7,11,0.6971973235702562,32
72,7355,559,7,14,0.696629213483146,32
73,7348,566,7,16,0.6959664183815175,32
74,7341,573,7,18,0.6953036232798889,32
75,7332,582,7,18,0.6944514581492236,32
76,7328,585,8,7,0.6941042797626562,32
77,7325,588,8,13,0.6938202247191011,32
78,7321,592,8,14,0.6934414846610276,32
79,7314,598,9,19,0.6928102512309052,32
80,7309,603,9,23,0.6923368261583133,32
81,7307,605,9,16,0.6921474561292766,32
82,7302,610,9,10,0.6916740310566848,32
83,7297,615,9,13,0.6912006059840928,32
84,7288,624,9,18,0.6903484408534276,32
85,7277,635,9,19,0.6893069056937255,32
86,7266,646,9,20,0.6882653705340235,32
87,7262,650,9,11,0.68788663047595,32
88,7256,656,9,12,0.6873185203888398,32
89,7254,658,9,12,0.687129150359803,32
90,7247,664,10,18,0.6864979169296805,32
91,7241,670,10,16,0.6859298068425703,32
92,7236,675,10,17,0.6854563817699785,32
93,7229,682,10,18,0.6847935866683499,32
94,7223,688,10,12,0.6842254765812398,32
95,7216,695,10,16,0.6835626814796111,32
96,7207,704,10,21,0.6827105163489458,32
97,7203,708,10,17,0.6823317762908724,32
98,7196,715,10,15,0.6816689811892438,32
99,7186,724,11,18,0.6807536927155663,32
100,7183,727,11,14,0.6804696376720112,32
101,7178,732,11,16,0.6799962125994193,32
102,7174,736,11,19,0.6796174725413459,32
103,7170,740,11,12,0.6792387324832723,32
104,7165,745,11,10,0.6787653074106805,32
105,7156,753,12,18,0.6779447039515213,32
106,7150,758,13,16,0.6774081555359172,32
107,7143,765,13,11,0.6767453604342886,32
108,7132,776,13,23,0.6757038252745865,32
109,7128,780,13,10,0.675325085216513,32
110,7126,781,14,17,0.6751672768589825,32
111,7118,789,14,15,0.6744097967428356,33
112,7113,794,14,15,0.6739363716702437,33
113,7107,800,14,18,0.6733682615831335,33
114,7103,804,14,9,0.67298952152506,33
115,7095,812,14,22,0.672232041408913,33
116,7088,819,14,19,0.6715692463072845,33
117,7078,829,14,20,0.6706223961621008,33
118,7071,835,15,14,0.6699911627319782,33
119,7070,836,15,9,0.66989647771746,33
120,7065,841,15,13,0.669423052644868,33
121,7060,845,16,21,0.6689811892437824,33
122,7056,849,16,11,0.6686024491857089,33
123,7051,853,17,15,0.6681605857846232,33
124,7048,856,17,16,0.6678765307410681,33
125,7044,860,17,13,0.6674977906829946,33
126,7039,865,17,19,0.6670243656104028,33
127,7035,869,17,9,0.6666456255523293,33
128,7026,878,17,17,0.665793460421664,33
129,7021,883,17,12,0.6653200353490721,33
130,7013,891,17,23,0.6645625552329252,33
131,7009,895,17,15,0.6641838151748517,33
132,7005,899,17,15,0.6638050751167782,33
133,6999,905,17,17,0.663236965029668,34
134,6994,908,19,18,0.6628266633000883,34
135,6990,912,19,15,0.6624479232420148,34
136,6984,918,19,11,0.6618798131549046,34
137,6976,926,19,25,0.6611223330387577,34
138,6975,927,19,13,0.6610276480242393,34
139,6971,931,19,15,0.6606489079661658,34
140,6968,934,19,13,0.6603648529226107,34
141,6961,941,19,17,0.6597020578209822,34
142,6954,948,19,20,0.6590392627193536,34
143,6947,955,19,18,0.658376467617725,34
144,6937,965,19,21,0.6574296174725414,34
145,6934,967,20,14,0.6571771241004923,34
146,6924,976,21,19,0.6562618356268148,34
147,6920,980,21,16,0.6558830955687414,34
148,6916,984,21,16,0.6555043555106678,34
149,6912,988,21,13,0.6551256154525944,34
150,6910,990,21,8,0.6549362454235576,34
151,6906,994,21,20,0.6545575053654842,34
