,number_susceptible,number_infected,number_resistant
0,7906,15,0
1,7905,16,0
2,7905,16,0
3,7905,16,0
4,7904,17,0
5,7904,17,0
6,7901,20,0
7,7901,20,0
8,7901,20,0
