,results_tweets
0,18
1,23
2,18
3,23
4,26
5,23
6,37
7,17
8,24
9,20
10,17
11,20
12,17
13,24
14,19
15,22
16,26
17,20
18,28
19,28
20,32
21,24
22,25
23,23
24,24
25,24
26,34
27,30
28,24
29,31
30,19
31,36
32,32
33,30
34,25
35,27
36,15
37,24
38,25
39,16
40,28
41,15
