,results_tweets
0,43
1,58
2,56
3,49
4,48
5,47
6,43
7,48
8,47
9,49
10,58
11,43
12,51
13,54
14,56
15,57
16,38
17,55
18,48
19,44
20,50
21,56
22,47
23,45
24,47
25,47
26,56
27,64
28,52
29,56
30,48
31,54
32,56
33,53
34,38
35,48
36,39
37,43
38,57
39,47
40,44
41,67
42,49
43,52
44,56
45,64
46,55
47,55
48,50
49,58
50,55
51,60
52,56
53,56
54,55
55,54
56,55
57,58
58,53
59,55
60,54
61,56
62,46
63,55
64,44
65,50
66,57
67,57
68,62
69,56
70,51
71,54
72,50
73,53
74,50
75,51
76,63
77,58
78,57
79,48
80,50
81,46
82,61
83,42
84,52
85,49
86,47
87,55
88,46
89,50
90,72
91,44
92,58
93,55
94,50
95,43
96,48
97,53
98,47
99,49
100,44
101,59
102,60
103,47
104,49
105,46
106,55
107,52
108,57
109,60
110,56
111,59
112,56
113,49
114,53
115,53
116,51
117,45
118,48
119,64
120,51
121,38
122,56
123,64
124,49
125,43
126,42
127,42
128,42
129,46
130,40
131,53
132,58
133,48
134,48
135,41
136,56
137,57
138,47
139,54
140,52
141,55
142,62
143,54
144,53
145,60
146,57
147,49
148,54
149,44
150,48
151,42
152,41
153,45
154,53
155,39
156,39
157,58
158,50
