,results_tweets
0,45
1,60
2,50
3,57
4,47
5,40
6,49
7,64
8,43
9,50
10,41
11,37
12,52
13,54
14,51
15,45
16,63
17,36
18,62
19,59
20,44
21,50
22,57
23,66
24,60
25,48
26,49
27,44
28,59
29,56
30,49
31,46
32,59
33,46
34,53
35,35
36,46
37,48
38,43
39,48
40,45
41,38
42,50
43,46
44,52
45,52
46,55
47,44
48,54
49,59
50,59
51,59
52,36
53,55
54,39
55,51
56,56
57,58
58,46
59,40
60,62
61,61
62,54
63,66
64,44
65,48
66,41
67,43
68,42
69,51
70,46
71,46
72,50
73,48
74,57
75,64
76,52
77,44
78,48
79,59
80,41
81,46
82,54
83,39
84,51
85,55
86,49
87,48
88,43
89,67
90,48
91,45
92,39
93,54
94,44
95,49
96,67
97,50
98,50
99,58
100,50
101,52
102,43
103,56
104,46
105,48
106,50
107,61
108,51
109,49
110,51
111,48
112,48
113,51
114,61
115,60
116,48
117,41
118,46
119,50
120,66
121,42
122,58
123,51
124,59
125,47
126,43
127,56
128,55
129,48
130,48
131,53
132,46
133,47
134,43
135,51
136,43
137,41
138,55
139,59
140,45
141,56
142,66
143,56
144,62
145,45
146,42
147,43
148,55
149,52
150,44
151,52
152,57
153,46
154,54
155,57
156,56
157,46
158,52
