,results_tweets
0,46
1,47
2,57
3,49
4,52
5,52
6,57
7,57
8,58
9,56
10,61
11,62
12,51
13,49
14,53
15,46
16,43
17,61
18,43
19,42
20,51
21,46
22,42
23,65
24,52
25,52
26,53
27,50
28,57
29,35
30,53
31,57
32,55
33,41
34,37
35,49
36,49
37,49
38,42
39,53
40,55
41,57
42,53
43,50
44,64
45,49
46,43
47,59
48,48
49,58
50,45
51,54
52,63
53,53
54,55
55,47
56,51
57,59
58,38
59,46
60,52
61,39
62,63
63,55
64,49
65,52
66,58
67,43
68,56
69,51
70,51
71,68
72,46
73,37
74,58
75,65
76,48
77,49
78,48
79,48
80,60
81,58
82,51
83,63
84,60
85,54
86,49
87,49
88,65
89,48
90,53
91,53
92,45
93,43
94,57
95,52
96,37
97,64
98,42
99,63
100,58
101,60
102,49
103,54
104,41
105,54
106,62
107,64
108,56
109,56
110,39
111,52
112,45
113,53
114,65
115,42
116,56
117,38
118,52
119,49
120,57
121,48
122,42
123,52
124,52
125,56
126,47
127,54
128,59
129,57
130,68
131,41
132,33
133,61
134,52
135,54
136,45
137,54
138,61
139,43
140,51
141,48
142,60
143,65
144,42
145,43
146,65
147,36
148,49
149,51
150,50
151,60
152,52
153,55
154,46
155,69
156,66
157,39
158,37
