,results_tweets
0,44
1,57
2,45
3,62
4,54
5,35
6,54
7,55
8,46
9,48
10,57
11,53
12,55
13,42
14,51
15,67
16,54
17,45
18,46
19,53
20,43
21,49
22,49
23,52
24,54
25,49
26,48
27,48
28,55
29,46
30,54
31,56
32,47
33,56
34,57
35,58
36,55
37,50
38,53
39,53
40,54
41,54
42,38
43,48
44,38
45,50
46,51
47,48
48,61
49,43
50,54
51,49
52,50
53,54
54,45
55,49
56,53
57,67
58,69
59,55
60,50
61,49
62,35
63,52
64,42
65,44
66,56
67,44
68,59
69,43
70,58
71,39
72,47
73,52
74,59
75,54
76,53
77,44
78,58
79,44
80,40
81,44
82,57
83,54
84,51
85,45
86,46
87,54
88,56
89,43
90,62
91,46
92,54
93,60
94,54
95,58
96,64
97,61
98,53
99,49
100,56
101,50
102,51
103,46
104,56
105,52
106,45
107,37
108,45
109,44
110,46
111,48
112,59
113,47
114,65
115,44
116,58
117,59
118,47
119,56
120,41
121,42
122,30
123,57
124,53
125,48
126,63
127,33
128,51
129,62
130,54
131,35
132,60
133,41
134,56
135,59
136,55
137,50
138,46
139,53
140,53
141,60
142,56
143,46
144,49
145,59
146,46
147,51
148,61
149,55
150,62
151,54
152,47
153,57
154,54
155,37
156,49
157,52
158,50
