,results_tweets
0,63
1,52
2,56
3,46
4,50
5,53
6,47
7,65
8,42
9,55
10,60
11,43
12,50
13,33
14,55
15,43
16,47
17,58
18,54
19,57
20,45
21,51
22,52
23,62
24,58
25,57
26,50
27,50
28,63
29,47
30,54
31,44
32,47
33,41
34,55
35,46
36,54
37,46
38,62
39,69
40,59
41,56
42,67
43,53
44,44
45,41
46,47
47,51
48,62
49,49
50,54
51,60
52,50
53,57
54,56
55,58
56,47
57,53
58,63
59,39
60,61
61,53
62,46
63,60
64,39
65,56
66,57
67,47
68,51
69,58
70,42
71,59
72,54
73,48
74,55
75,53
76,53
77,49
78,57
79,52
80,52
81,59
82,53
83,54
84,74
85,67
86,45
87,41
88,51
89,46
90,47
91,50
92,54
93,56
94,50
95,57
96,49
97,53
98,48
99,68
100,52
101,52
102,40
103,53
104,33
105,49
106,54
107,49
108,43
109,57
110,45
111,60
112,51
113,56
114,58
115,36
116,55
117,58
118,46
119,49
120,48
121,51
122,51
123,57
124,38
125,55
126,51
127,52
128,46
129,56
130,47
131,45
132,55
133,59
134,42
135,38
136,44
137,50
138,49
139,47
140,50
141,52
142,48
143,49
144,51
145,44
146,44
147,64
148,52
149,56
150,37
151,49
152,41
153,53
154,56
155,50
156,44
157,55
158,56
