,results_tweets
0,52
1,55
2,50
3,52
4,51
5,43
6,43
7,49
8,39
9,52
10,45
11,55
12,57
13,46
14,60
15,51
16,53
17,56
18,37
19,64
20,49
21,50
22,40
23,64
24,63
25,52
26,48
27,33
28,47
29,49
30,44
31,51
32,46
33,60
34,57
35,52
36,43
37,63
38,50
39,47
40,62
41,50
42,49
43,60
44,45
45,52
46,61
47,52
48,54
49,44
50,50
51,54
52,40
53,59
54,51
55,45
56,43
57,50
58,54
59,48
60,46
61,50
62,68
63,50
64,46
65,49
66,51
67,41
68,45
69,51
70,53
71,41
72,51
73,56
74,54
75,51
76,57
77,52
78,51
79,55
80,49
81,55
82,51
83,47
84,38
85,62
86,53
87,47
88,39
89,41
90,46
91,59
92,41
93,31
94,50
95,42
96,47
97,42
98,44
99,50
100,69
101,59
102,50
103,67
104,48
105,53
106,33
107,52
108,46
109,65
110,41
111,49
112,60
113,50
114,59
115,43
116,47
117,54
118,51
119,57
120,50
121,49
122,43
123,48
124,51
125,45
126,46
127,53
128,49
129,51
130,45
131,55
132,60
133,73
134,53
135,48
136,59
137,49
138,54
139,43
140,50
141,43
142,58
143,47
144,54
145,61
146,50
147,42
148,46
149,54
150,46
151,54
152,58
153,43
154,54
155,47
156,50
157,43
158,55
