,number_susceptible,number_infected,number_resistant
0,7891,30,0
1,7890,31,0
2,7889,32,0
3,7888,33,0
4,7888,33,0
5,7887,34,0
6,7887,34,0
7,7884,37,0
8,7884,37,0
9,7882,39,0
10,7879,42,0
11,7877,44,0
12,7876,45,0
13,7875,46,0
14,7875,46,0
15,7872,49,0
16,7872,49,0
17,7871,50,0
18,7868,53,0
19,7864,57,0
20,7862,59,0
21,7856,65,0
22,7848,73,0
23,7845,76,0
24,7844,77,0
25,7842,79,0
26,7837,84,0
27,7827,94,0
28,7822,99,0
29,7817,103,1
30,7810,110,1
31,7804,116,1
32,7797,123,1
33,7787,133,1
34,7777,143,1
35,7760,160,1
36,7753,167,1
37,7746,174,1
38,7732,188,1
39,7719,201,1
40,7709,210,2
41,7695,222,4
42,7680,237,4
43,7668,249,4
44,7653,263,5
45,7631,285,5
46,7621,295,5
47,7601,315,5
48,7584,332,5
49,7558,358,5
50,7526,389,6
51,7493,422,6
52,7468,447,6
53,7441,473,7
54,7419,495,7
55,7383,530,8
56,7348,564,9
57,7311,601,9
58,7271,640,10
59,7241,670,10
60,7198,713,10
61,7150,759,12
62,7104,804,13
63,7057,851,13
64,7010,897,14
65,6961,944,16
66,6906,998,17
67,6859,1045,17
68,6785,1117,19
69,6727,1174,20
70,6669,1232,20
71,6592,1308,21
72,6533,1365,23
73,6462,1435,24
74,6388,1509,24
75,6324,1571,26
76,6245,1650,26
77,6159,1735,27
78,6062,1831,28
79,5972,1917,32
80,5865,2023,33
81,5777,2109,35
82,5691,2192,38
83,5591,2291,39
84,5482,2399,40
85,5380,2499,42
86,5286,2590,45
87,5170,2704,47
88,5038,2830,53
89,4932,2932,57
90,4824,3036,61
91,4715,3142,64
92,4596,3259,66
93,4502,3353,66
94,4375,3470,76
95,4238,3604,79
96,4100,3740,81
97,3973,3862,86
98,3855,3979,87
99,3719,4111,91
100,3608,4219,94
101,3479,4344,98
102,3351,4469,101
103,3242,4572,107
104,3103,4704,114
105,2981,4818,122
106,2870,4924,127
107,2753,5032,136
108,2657,5123,141
109,2557,5217,147
110,2450,5320,151
111,2354,5414,153
112,2263,5500,158
113,2168,5591,162
114,2093,5652,176
115,1998,5743,180
116,1915,5818,188
117,1828,5898,195
118,1746,5972,203
119,1651,6066,204
120,1567,6145,209
121,1492,6215,214
122,1429,6275,217
123,1362,6330,229
124,1289,6391,241
125,1224,6447,250
126,1167,6500,254
127,1113,6542,266
128,1045,6601,275
129,991,6651,279
130,952,6683,286
131,895,6731,295
132,839,6782,300
133,791,6822,308
134,750,6855,316
135,717,6880,324
136,678,6911,332
137,645,6936,340
138,601,6969,351
139,565,7001,355
140,530,7029,362
141,499,7056,366
142,480,7061,380
143,458,7073,390
144,428,7098,395
145,399,7116,406
146,377,7135,409
147,356,7150,415
148,335,7159,427
149,315,7168,438
150,292,7186,443
151,271,7203,447
152,257,7202,462
153,251,7202,468
154,236,7212,473
155,226,7214,481
156,215,7217,489
157,206,7221,494
158,201,7216,504
159,192,7219,510
160,183,7220,518
161,169,7226,526
162,161,7225,535
163,151,7230,540
164,135,7231,555
165,127,7231,563
166,118,7235,568
167,109,7237,575
168,106,7234,581
169,96,7239,586
170,92,7236,593
171,88,7234,599
172,82,7230,609
