,number_susceptible,number_infected,number_resistant
0,7895,25,1
1,7895,25,1
2,7894,26,1
3,7894,26,1
4,7891,29,1
5,7891,29,1
6,7891,29,1
7,7889,31,1
8,7889,31,1
9,7889,31,1
10,7887,33,1
11,7887,32,2
12,7887,32,2
13,7887,32,2
14,7887,32,2
15,7886,33,2
16,7886,33,2
17,7885,34,2
18,7884,35,2
19,7884,35,2
20,7884,35,2
21,7884,35,2
22,7883,36,2
23,7882,37,2
24,7881,37,3
25,7880,38,3
26,7880,38,3
27,7879,39,3
28,7878,40,3
29,7877,41,3
30,7877,41,3
31,7876,42,3
32,7875,43,3
33,7875,43,3
34,7875,43,3
35,7875,42,4
36,7875,42,4
37,7873,44,4
38,7872,45,4
39,7870,46,5
40,7869,47,5
41,7869,47,5
42,7867,49,5
43,7866,50,5
44,7863,53,5
45,7863,53,5
46,7863,53,5
47,7863,53,5
48,7862,54,5
49,7861,55,5
50,7859,57,5
51,7858,58,5
52,7857,59,5
53,7856,60,5
54,7853,63,5
55,7849,67,5
56,7849,67,5
57,7847,69,5
58,7845,70,6
59,7844,70,7
60,7844,70,7
61,7842,72,7
62,7842,71,8
63,7842,71,8
64,7841,72,8
65,7838,75,8
66,7838,75,8
67,7838,75,8
68,7833,80,8
69,7830,83,8
70,7825,87,9
71,7824,88,9
72,7820,92,9
73,7818,93,10
74,7814,97,10
75,7813,98,10
76,7812,99,10
77,7809,102,10
78,7807,104,10
79,7807,104,10
80,7807,104,10
81,7805,106,10
82,7803,108,10
83,7801,110,10
84,7801,108,12
85,7800,109,12
86,7799,110,12
87,7798,111,12
88,7798,110,13
89,7798,110,13
90,7796,112,13
91,7794,114,13
92,7791,116,14
93,7790,116,15
94,7788,118,15
95,7785,121,15
96,7781,123,17
97,7780,124,17
98,7779,125,17
99,7776,128,17
100,7776,128,17
101,7774,130,17
102,7772,132,17
103,7771,133,17
104,7767,137,17
105,7764,140,17
106,7761,143,17
107,7759,145,17
108,7757,147,17
109,7753,151,17
110,7750,154,17
111,7748,156,17
112,7745,159,17
113,7743,161,17
114,7739,163,19
115,7736,166,19
116,7733,169,19
117,7731,170,20
118,7729,172,20
119,7728,172,21
120,7726,174,21
121,7721,179,21
122,7717,183,21
123,7714,186,21
124,7707,192,22
125,7702,196,23
126,7698,200,23
127,7692,206,23
128,7688,210,23
129,7685,213,23
130,7678,220,23
131,7670,228,23
132,7662,236,23
133,7657,241,23
134,7653,244,24
135,7648,249,24
136,7642,255,24
137,7634,263,24
138,7624,273,24
139,7619,278,24
140,7613,283,25
141,7608,288,25
142,7601,293,27
143,7598,296,27
144,7590,304,27
145,7587,307,27
146,7580,313,28
147,7572,321,28
148,7565,327,29
149,7557,335,29
150,7549,342,30
151,7545,346,30
152,7541,350,30
153,7531,360,30
154,7527,364,30
155,7513,378,30
156,7509,382,30
157,7504,385,32
158,7496,392,33
159,7488,400,33
160,7479,409,33
161,7473,413,35
162,7467,419,35
163,7448,436,37
164,7440,444,37
165,7425,459,37
166,7418,466,37
167,7411,473,37
168,7404,480,37
169,7400,484,37
170,7391,493,37
171,7385,497,39
172,7373,508,40
173,7364,516,41
174,7357,523,41
175,7345,535,41
176,7333,547,41
177,7315,562,44
178,7305,571,45
179,7291,585,45
180,7276,600,45
181,7270,606,45
182,7264,612,45
183,7250,626,45
184,7240,634,47
185,7226,648,47
186,7212,662,47
187,7208,666,47
188,7185,688,48
189,7168,704,49
190,7157,715,49
191,7143,727,51
192,7133,736,52
193,7123,745,53
194,7100,768,53
195,7087,780,54
196,7069,797,55
197,7051,815,55
198,7039,823,59
199,7029,832,60
200,7007,854,60
201,6990,870,61
202,6977,883,61
203,6969,891,61
204,6950,904,67
205,6930,923,68
206,6907,946,68
207,6890,962,69
208,6876,974,71
209,6858,992,71
210,6841,1007,73
211,6819,1025,77
212,6808,1035,78
213,6797,1044,80
214,6769,1069,83
215,6749,1089,83
216,6732,1106,83
217,6703,1131,87
218,6685,1148,88
219,6664,1168,89
220,6651,1181,89
221,6623,1208,90
222,6595,1236,90
223,6569,1260,92
224,6544,1283,94
225,6530,1297,94
226,6513,1313,95
227,6493,1332,96
228,6468,1357,96
229,6435,1389,97
230,6411,1410,100
231,6397,1422,102
232,6378,1440,103
233,6356,1461,104
234,6342,1474,105
235,6323,1491,107
236,6300,1511,110
237,6276,1532,113
238,6243,1563,115
239,6216,1588,117
240,6191,1610,120
241,6157,1643,121
242,6136,1664,121
243,6105,1693,123
244,6079,1714,128
245,6055,1737,129
246,6029,1759,133
247,5998,1787,136
248,5974,1809,138
249,5946,1835,140
250,5918,1862,141
251,5878,1899,144
252,5849,1928,144
253,5818,1956,147
254,5790,1983,148
255,5756,2015,150
256,5727,2043,151
257,5696,2071,154
258,5664,2102,155
259,5634,2130,157
260,5605,2156,160
261,5565,2192,164
262,5537,2217,167
263,5517,2232,172
264,5493,2252,176
265,5453,2291,177
266,5428,2313,180
267,5394,2345,182
268,5362,2375,184
269,5328,2403,190
270,5291,2439,191
271,5253,2473,195
272,5228,2496,197
